,Unnamed: 0,Symbol,Name,Buy,Analyst,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,agora_pred
112,112,CAG,ConAgra Brands Inc. Common Stock,1,Buy,,,0.79,0.11,2.66,17.84,0.87,4.68,0.04,
113,113,CAH,Cardinal Health Inc. Common Stock,1,Buy,-0.06,0.14,1.04,0.0,6.19,6.16,0.89,1.77,0.03,1.0
114,114,CAL,Caleres Inc. Common Stock,1,Buy,,,,,,,,,,
115,115,CALX,Calix Inc Common Stock,1,Buy,,,1.47,0.36,0.95,8.4,0.8,4.77,0.05,
116,116,CARR,Carrier Global Corporation Common Stock ,1,Buy,-0.02,0.24,,0.13,2.44,7.79,0.86,1.85,0.01,
117,117,CAT,Caterpillar Inc. Common Stock,1,Buy,0.13,0.18,0.93,0.1,10.55,30.75,0.7,1.63,0.01,1.0
118,118,CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,1,Buy,,,0.94,0.04,0.19,47.18,0.06,2.2,,
119,119,CC,Chemours Company (The) Common Stock,1,Buy,0.07,0.26,2.18,0.05,4.18,5.43,0.78,4.46,0.06,0.0
120,120,CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,1,Buy,,,,0.01,0.25,843.33,0.96,3.69,,
121,121,CCJ,Cameco Corporation Common Stock,1,Buy,,,0.8,-0.01,0.15,12.42,0.65,1.24,,
122,122,CCL,Carnival Corporation Common Stock,1,Buy,-0.09,0.22,2.23,0.0,-0.02,13.11,0.53,2.15,0.09,0.0
123,123,CDAY,Ceridian HCM Holding Inc. Common Stock,1,Buy,,,,,,,,,,
124,124,CDE,Coeur Mining Inc. Common Stock,1,Buy,,,1.77,0.08,0.32,3.38,0.72,1.56,0.03,
125,125,CDR,Cedar Realty Trust Inc. Common Stock,1,Buy,,,,,,,,,,
126,126,CEQP,Crestwood Equity Partners LP,1,Buy,,,3.39,-0.03,1.85,8.92,0.45,4.74,0.04,
127,127,CGAU,Centerra Gold Inc. Common Shares,1,Buy,,,0.87,-0.2,1.18,5.94,0.65,16.21,,
128,128,CHD,Church & Dwight Company Inc. Common Stock,1,Buy,0.16,0.1,0.38,0.16,3.23,13.77,0.84,4.81,0.03,1.0
129,129,CHRA,Charah Solutions Inc. Common Stock,1,Buy,,,,,,,,,,
130,130,CIB,BanColombia S.A. Common Stock,1,Buy,,,,,,,,,,
131,131,CIEN,Ciena Corporation Common Stock,1,Buy,,,0.86,0.14,3.15,18.85,0.96,3.93,0.03,
132,132,CIO,City Office REIT Inc. Common Stock,1,Buy,,,,,,,,,,
133,133,CIT,CIT Group Inc (DEL) Common Stock,1,Buy,,,,,,,,,,
134,134,CIXX,CI Financial Corp. Common Shares,1,Buy,,,,,,,,,,
135,135,CLF,Cleveland-Cliffs Inc. Common Stock,1,Buy,0.28,0.26,2.22,0.12,5.37,7.99,0.73,2.52,0.13,1.0
136,136,CLPR,Clipper Realty Inc. Common Stock,1,Buy,,,0.99,-0.05,-0.1,0.78,0.48,2.07,0.01,
137,137,CLR,Continental Resources Inc. Common Stock,1,Buy,0.19,0.2,3.2,0.1,4.66,18.22,0.14,5.87,0.17,0.0
138,138,CLW,Clearwater Paper Corporation Common Stock,1,Buy,,,1.26,0.0,3.19,29.25,0.91,3.82,0.04,
139,139,CMA,Comerica Incorporated Common Stock,1,Buy,0.01,-0.03,1.52,0.34,5.54,56.55,0.81,2.22,0.03,1.0
140,140,CMI,Cummins Inc. Common Stock,1,Buy,0.07,0.2,1.05,0.1,18.74,54.77,0.84,2.34,0.02,1.0
141,141,CMP,Compass Minerals Intl Inc Common Stock,1,Buy,,,1.6,-0.09,2.21,5.48,0.9,3.89,0.04,
142,142,CNI,Canadian National Railway Company Common Stock,1,Buy,,,0.61,0.33,5.29,30.62,0.8,2.07,,
143,143,CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,1,Buy,,,2.47,-1.36,0.7,3.3,0.94,7.28,0.36,
144,144,CNM,Core & Main Inc. Class A Common Stock,1,Buy,,,,0.02,0.96,6.92,0.8,2.43,0.04,
145,145,CNP,CenterPoint Energy Inc (Holding Co) Common Stock,1,Buy,,,0.97,0.12,1.4,12.03,0.92,2.37,0.03,
146,146,CNX,CNX Resources Corporation Common Stock,1,Buy,,,1.42,-0.19,1.51,18.92,0.93,6.7,0.16,
147,147,COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares,1,Buy,,,-0.73,0.02,3.59,-39.83,0.91,0.47,,
148,148,COG,Cabot Oil & Gas Corporation Common Stock,1,Buy,,,-0.05,0.17,2.44,5.75,0.5,4.3,0.11,
149,149,COLD,Americold Realty Trust Common Shares,1,Buy,0.56,0.19,0.25,-0.03,0.21,14.79,1.09,2.98,0.03,1.0
150,150,COMP,Compass Inc. Class A Common Stock,1,Buy,,,,-0.05,-0.65,2.73,0.6,2.5,0.02,
