,Recent headlines and conversations for NKE,Polarity
930,The issue here is valuation. How much is this 50 year old company going to grow? 15% is pretty good....analysts think 30% a year for the next 5 years. I think that is a stretch. So how much do you want to pay for each dollar of free cash flow? Company generates roughly 5 billion of free cash in a good year. With 1.27 billion shares that is roughly $4 a share. Put a general business transaction multiple of 10 and you have a share price of 40. Top brand premium 20 times and your at 80. THE STOCK TRADES FOR 140!!!!! Okay split the middle....still the current price is ridiculous. Needs to drop 20 to 40 to look attractive.,0.9831
931,Law suits coming to Nike,0.0909
932,@Richard excerpt from article you posted by uncle of Stephen Miller:“Trump's grandfather is reported to have been a German migrant on the run from military conscription to a new life in the United States”The circumstances were different but avoidance of military service is in the DNA of all Trumps!,0.6459
933,The most brilliant marketing scheme of all time. Have you seen the people burning their Nike gear? So when they regret it 6 months down the line who's going to benefit?,0.7893
934,It’ll be an interesting study in macroeconomic marketing with all the hype it’s getting.Safe to assume that if Nike misses their 4th quarter numbers — many heads will roll...,-0.2629
935,This may very well effect Nike sales. The backlash is going to be bigger than they think.,0.4713
936,"My list keeps growing - the NFL, then Starbucks and now Nike - NEVER AGAIN",0.8092
937,"i hear millennials are ""snapping up"" the stock today...with what money? their mom's? this is a growth stock that is going to tank. cannot wait to see this happen... let's see sept18 sales compared to sept17... all i can say is TIMBER !!!!!!!",-0.3901
938,"Just returned from a trip to central america. I noticed the crowds of travelers wearing a lot of Under/Armor. Now I own stock in both companies, but I think NIKE did great damage to their users, maybe not shoes, but other apparel including hats and shirts were mainly UA.",0.8443
939,AT 98 I'll be picking up 1.5k shrs.,-0.0008
940,Gravity is about to take hold of Nike,-0.3137
941,Nike showing Kap ad tonight’s game. S gonna hit fan. Prob see bonfires of burning shoes and jerseys.,0.4011
942,Nike is pumping its North America sales by purchasing its product and returning it to inventory. The cost of sales has climbed in lock step with Revenues causing the margins to decrease. They know the analyst are wrongly focused on sales revenue instead of earnings. Revenues are up while earnings are below last years. At minimum earnings should be flat with last year if revenue was truly up. I am looking at these numbers prior to G& A costs so the decrease operating income is not from increase in R&D and marketing. Eventually this will be wrung out when net income continues to fall.,0.8956
943,Wondering were your hero Blasey Ford is? Oh yeah she is moving to New Zealand. You Libbys should join her there! MAGA!,0.938
944,"Still waiting for ""repeal and replace on day one"".",0.0983
945,nothing happened yet. aftermarket gamblers are at work. earnings 5pm EST,0.7057
946,Elizabeth Warren: Trump ‘May Not Even Be a Free Person’ by the 2020 Electionhttps://www.newsweek.com/elizabeth-warren-donald-trump-may-not-even-be-free-person-2020-presidential-1325737,0.5914
947,Blue Puddle - you need to read the wealth of Nations too! Read both the communist manifesto and the wealth of Nations.Guess which book your political party represents?,0.8688
948,Should I buy the dip NKE good stock right?,0.7357
949,"CON I ALWAYS FELT IT WAS PROPHET MYSELF, JUST CAN'T PROVE IT",0.268
950,Not watching NFL or buying kaeperdick Nike products,0.5735
951,DIMS are always quick to play the race card.It's all they've got.,0.6853
952,Just a quick note......if you’re a tRUMPster who supports the Confederate flag and the Confederate monuments.........please read the Constitution. Especially the part that prohibits confederacies.,0.575
953,#NEVER NIKE,0.0
954,Nike riding UA coat tails. They'll soon realize they lost huge market share to UA.,0.4362
955,"What exactly did Nike expect the American people do when they decide to disrespect the military, police, firefighter and all Americans by hiring kneeing KaperRacist",-0.1338
956,told Macy's to take their cc back till nike is removed from their store,0.1779
957,I'm 55 years old. and yes I did dump my Nike shoes clothes and anything that has there logo. They should Remember the kids get there money from us older people. we also are employers.,0.5814
958,NIKE TANK JOB!!,-0.4831
959,Dem/Coms only needed to flip 2 Senators and lost at least 2 instead LOL,0.3546
960,What is the most effective way to implement a Nike counter-propaganda program and boycott?,0.2555
961,"Colin Caepernick has never done a thing to engage the police or help to improve the situation with police in the inner city. He just complains and takes advantage of the situation.Then he allies with a company that is known for supressing workers in China. This company won't grow, if anything sales will become specialized - only ghetto dwellers and ultra liberals will buy Nike.",0.9321
962,CEO Mark Parker should have to watch his fantasy Joke? the Nike Kapernick AD/HOAX every day till he is LET GO...But??? Firing Parker ? would just bring more attention to the Nike/Kapernick AD/HOAX??? and probably FTC with the silly claims of whet the Kapernick Hoax will do??/ also FTC came down on Musk and Tesla?...Anyone in WORLD??/ including Parker explain what? Kapernick gave up??? for a cause he believed in?? Anyone???,0.8652
963,"swoosh, down the Krapper",-0.2562
964,"I can't wear their logo now in a professional setting. I don't want to convey something not intended, pro or against whatever their ""sports professional of choice""'s overt politics was. Nike bought that too.",0.5466
965,This stock is toast after earnings :)),-0.1097
966,Wait until Andrew Left starts shorting. This will really get bad. Let’s roll Andrew. I’m short in the AM tomorrow.,-0.8595
967,GET OUT NOW! BEFORE IT'S TOO LATE,-0.0788
968,"I live in East Harlem, NYC, the city just opened this week. The sneaker stores are selling out of Nikes. Van loads are coming in. After months of being quarantined, everyone wants new kicks. Nike profits will soar!",0.7141
969,IRAN must be using some of that Cash they got from Obama. They must be so proud to buy this POS stock..,0.6922
970,Sell NKE and Buy NOK 5G is ready to launch!,0.6421
971,"I talked with my neighbor's kid that works at a big box sporting goods store and he that said Nike products aren't selling like they used to. They are ""way down"" since the new ad campaign was released.... now this is only 1 store in a pretty well healed area, so mileage may vary in other socioeconomic areas.",0.7489
972,Back in 84’ I spent $10k on Nike stock at $.11/share. Moral of the story keep your stock and never sell through the good times and even more importantly the bad times.,0.6841
973,"Picture of illegals from Honduras...Guatemala.....wearin' nikkies....the choice of criminals everywhere....or, could be the much better brands HIKE or NIRE?",-0.431
974,wait until earnings.. mid 60.,0.0772
975,"Once the colleges start hearing from alumni and big donors, Nike will be washed away from NCAA sports. Good bye Nike.",0.6777
976,"I use to buy Nike but after kap commercial my wife said no more ,not standing for the flag ,I feel sorry for veterans who lost there life for that flag ,we know buy new balance .",0.3214
977,"Oddly, I haven't heard President Dennison tout the stock market in a while. And just think, shortly the Nation will be debt-free (Presidend Dennison's bigliest BK ever?).https://markets.businessinsider.com/news/stocks/trump-budget-deal-touts-plan-that-would-raise-national-debt-2019-7-1028385987",-0.1747
978,i knew this gar bage would miss and drag the market down play the krapernick ad again it's working so well MAGA 2020,0.1851
979,"If Nike were to publicly apologize for hiring the Colin Crappernick symbol of hate and terminate his employment, admitting the massive marketing mistake they made, I might come back to buy Nike products again. For now I'm loving my Under Armor and Adidas.",0.0039
980,Tom Burnett should have been the voice of Nike:https://www.facebook.com/TheRealMikeRowe/posts/2090919067584892,0.4372
981,Nike will be boycotted by 75% of Americans. Deepdive for Nike's stock,-0.2977
982,Why pay Workers when you can own SLAVES? -NIKE,0.1782
983,Nike and the kneeler...perfect pair.Think Adidas.,0.009
984,"When Abrams weighs in on an issue, I mean she weighs in..",0.2524
985,"Anyone think Zion took a short position? That shoe came apart like the old tear away jerseys, right at the beginning of the game.",0.0884
986,Wow Nike! Just wow! What in the world were you thinking?,0.8734
987,Nike recently announced a dividend increase! Investors can thank President TRUMP for the corporate tax cuts that directly led to this. Now do you Libtards see how good economic policy works???6 MORE YEARS OF TRUMP!!!God bless America!,0.7171
988,"revenue growth rate 4%check for yourselfPE 72seems like the low for the year is a more fair price, $50",0.6965
989,Uday wants to be president !LMAO!!! Donald Trump Jr hints he could run for president in 2024$BAC,0.4849
990,God I hope they miss on earnings,0.6113
991,"prophet, what do you think the pps will be when the markets stabilize?",0.3299
992,  BEARISH  ,-0.6921
993,My new Nike shirt is an Under Armor shirt!!! I know where I stand.,-0.2759
994,"I have friends that are ex-military and cops.Cant wear my Nikes anymore even if I wanted to.I used to buy 2 or 3 pairs a year, but will switch toAdidas or Asics I guess.What are some other good running shoes?",0.8531
995,Nike is going to discover that not all publicity is good. Kapernick is a Sales Transmitted Disease. Implementing a marketing campaign based on an STD is not going to help your sales.,0.9095
996,Good EPS growth.,0.6705
997,Nike's new target market,-0.0044
998,BOOOOOOM!! Under 76 Now :(,-0.5604
999,UNITED STATES MEXICO CANADA THAT'S DISRESPECTFUL ??,0.8023
1000,"Sketchers are the most comfortable shoe I have ever worn. I had to put a new pair on this morning I had saved. I can't wait for the next reporting for NIKE, you know, the one the CEO uses for his bonuses. That is in 21 days.",0.8695
1001,"Kapernutts should be sent on a space shuttle to Mars. There, he can protest all day and see what freedom truly is.",0.775
1002,good earning and outlook. will be over $85,0.1837
1003,Hey mares look at the volume today! What does that tell you!! Let me spell it out...people are selling,0.5345
1004,"With their plunge into social issues in this country, Nike is fast becoming a cultural thermometer for the 20 somethings, in my opinion. It doesn't play well with flyover country or older groups, but the money and the people are on the coasts. And there is nothing smarter then to continue to fuel the consumer pipeline with the next generation of decision makers and purchasers.",0.9316
1005,Watch for a major dip back to below $80,0.1927
1006,Down 5 tomorrow we’re just getting started,-0.1376
