Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHUY,Chuy's Holdings Inc. Common Stock,$30.93,0.48,1.576%,618511014.00,United States,2012,97934,Consumer Services,Restaurants
CINF,Cincinnati Financial Corporation Common Stock,$118.49,1.11,0.946%,19098559333.00,United States,,362039,Finance,Property-Casualty Insurers
CLMT,Calumet Specialty Products Partners L.P. Common Units,$6.14,-1.54,-20.052%,483072249.00,United States,2006,581898,Energy,Oil & Gas Production
CLSN,Celsion Corporation Common Stock,$1.08,0.01,0.935%,93482355.00,United States,,1036435,Health Care,Biotechnology: Pharmaceutical Preparations
CLVR,Clever Leaves Holdings Inc. Common Shares,$8.59,-0.21,-2.386%,225056729.00,United States,,101672,,
CMAX,CareMax Inc. Class A Common Stock,$10.32,0.91,9.671%,865579525.00,United States,2020,1070507,Technology,Computer Software: Prepackaged Software
CME,CME Group Inc. Class A Common Stock,$189.23,0.02,0.011%,67959734832.00,United States,2002,1597630,Finance,Investment Bankers/Brokers/Service
CMPI,Checkmate Pharmaceuticals Inc. Common Stock,$4.90,-0.47,-8.752%,105966866.00,United States,2020,60683,Consumer Durables,Specialty Chemicals
CNSL,Consolidated Communications Holdings Inc. Common Stock,$9.32,0.29,3.212%,920389004.00,United States,2005,318121,Public Utilities,Telecommunications Equipment
CODX,Co-Diagnostics Inc. Common Stock,$10.02,-0.56,-5.293%,289476698.00,United States,2017,806389,Health Care,Medical/Dental Instruments
CONN,Conn's Inc. Common Stock,$23.33,0.31,1.347%,687841656.00,United States,2003,355767,Consumer Services,Consumer Electronics/Video Chains
COOP,Mr. Cooper Group Inc. Common Stock,$41.29,0.00,0.00%,3557074331.00,United States,,1466394,Finance,Finance: Consumer Services
CORT,Corcept Therapeutics Incorporated Common Stock,$20.86,-0.24,-1.137%,2418229481.00,United States,2004,434636,Health Care,Biotechnology: Pharmaceutical Preparations
COUP,Coupa Software Incorporated Common Stock,$244.80,-2.84,-1.147%,18129746261.00,United States,2016,1093873,Technology,Computer Software: Prepackaged Software
CPSI,Computer Programs and Systems Inc. Common Stock,$36.48,0.13,0.358%,534375164.00,United States,2002,132440,Technology,EDP Services
CRAI,CRA International Inc. Common Stock,$90.20,-0.65,-0.715%,665836646.00,United States,1998,32201,Miscellaneous,Other Consumer Services
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,$1.15,-0.04,-3.361%,144015513.00,United States,,878111,Health Care,Biotechnology: Pharmaceutical Preparations
CRCT,Cricut Inc. Class A Common Stock,$34.63,-0.31,-0.887%,7695890385.00,United States,2021,455094,Capital Goods,Wholesale Distributors
CREE,Cree Inc. Common Stock,$88.84,2.22,2.563%,10295226243.00,United States,1993,1070325,Technology,Semiconductors
