,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
73,CALM,0.3751323076923076,0.0380666666666666,0.0,-0.175935,426851.0,0.04597,,1.03,20.805,5204376.0,0.1065,1.374,0.91683,0.15094,1614384000.0,1653868800.0,22.27,1588575872.0,-0.015,5211863.0,0.2178,0.38
74,CAR,0.4446425,0.4196733333333332,0.0,2.341043,962043.0,0.027590001,,5.2,-4.521,8103139.0,0.121800005,-9.992,1.0455999,0.01472,1625011200.0,1672444800.0,6.04,21941336064.0,,8483050.0,0.1708,0.11
75,CASA,0.4002172268907565,0.1459666666666666,0.0,1.090028,426545.0,0.06904,,0.44,0.953,1269061.0,0.0148,0.339,0.69496,0.22829,1625011200.0,1672444800.0,4.24,746114624.0,,1117515.0,0.0399,
76,CASY,0.3115145348837209,0.375,0.1575,0.870108,185044.0,0.035940003,,9.19,52.069,458261.0,0.0124,8.38,0.89319,0.00501,1619740800.0,1682812800.0,2.41,8386491392.0,-0.328,757980.0,0.0162,3.21
77,CATY,-0.000520895522388,0.42335,0.35529998,1.495427,294548.0,0.44437,,3.52,30.948,1256698.0,0.0161,3.2,0.71658,0.055370003,1625011200.0,1672444800.0,5.24,1595277056.0,0.421,1246727.0,0.0191,1.32
78,CCAP,0.033447619047619,0.2727875,0.35889998,,51984.0,1.5325799,,,,33842.0,0.0011999999,,0.56129,0.16229999,1625011200.0,1672444800.0,0.92,1019484224.0,-0.422,39573.0,0.0032,
79,CCMP,0.0671662790697674,0.3287444444444444,,1.174646,136541.0,-0.0416,,8.17,32.782,436054.0,0.0149,-1.615,1.01633,0.01064,1617148800.0,1664496000.0,1.8,4593795584.0,,596436.0,0.017,1.4
80,CCOI,0.0764133333333333,0.41,29.7,0.107584,100687.0,0.00849,,1.22,-6.676,922476.0,0.0194,0.34,0.86130995,0.12134,1625011200.0,1672444800.0,4.43,4241677824.0,,1029066.0,0.0257,0.89
81,CCRN,0.2311434343434342,0.660553846153846,0.0,1.150618,211429.0,0.03201,,0.66,4.744,593370.0,0.0161,0.237,0.93463,0.05639,1625011200.0,1672444800.0,2.46,876957376.0,,777590.0,0.0202,1.34
82,CCXI,0.4437618677042799,0.3737941176470588,0.0,1.43913,1052745.0,-0.91542,,-1.79,5.176,3140335.0,0.045,-0.935,0.72450995,0.23735,1617148800.0,1672444800.0,0.53,592820928.0,,3529161.0,0.066599995,
83,CDEV,0.3740753846153847,0.54252,0.0,6.577717,6081840.0,-0.2922,,0.51,9.168,23083349.0,0.08270001,-0.609,0.63869,0.04697,1617148800.0,1672444800.0,2.83,2982026240.0,,25463800.0,0.1373,5.88
84,CDLX,0.2929919463087248,0.0822428571428571,0.0,,177773.0,-0.41881,,-0.52,23.446,3731132.0,0.11350001,-2.397,0.98664004,0.05934,1625011200.0,1672444800.0,11.41,3788333568.0,,3482263.0,0.1354,-3.32
